Titulo,Autor,Genero,Descripcion
Tratados de critica literaria,['Dionisio de Halicarnaso'],"['Crítica y teoría literaria', 'Ensayo']","Crítico literario de primer orden, Dionisio centra sus comentarios tanto en el aspecto retórico formal como en el plano del contenido. Dionisio de Halicarnaso nació hacia 60 o 55 a. C. en esta ciudad de la costa de Asia Menor, pero su interés por la oratoria le llevó a trasladarse, en 30 a. C., a Roma, donde se dedicó a su enseñanza de retórica y compaginó la labor pedagógica y la composición de su obra capital –Historia antigua de Roma– con la redacción en griego de una variada colección de comentarios de crítica literaria. En este volumen se incluyen «Sobre los oradores antiguos» (una especie de preámbulo a una proyectada obra sobre los oradores áticos Lisias, Isócrates, Iseo y Demóstenes), comentarios acerca de distintos autores y «Sobre la imitación», tratado que ha llegado hasta nosotros de manera fragmentaria. Las demás obras sobre retórica y literatura de Dionisio también están publicadas en esta colección. Dionisio considera que la filosofía y la historiografía son meras disciplinas de la retórica, idea que influye en su valoración de los autores que comenta, pues realza a los oradores (sobre todo a Demóstenes), en detrimento de Platón y, en menor medida, de Tucídides. Crítico literario de primer orden, Dionisio centra sus comentarios tanto en el aspecto formal como en el plano del contenido. Es, además, vía inestimable de transmisión de fragmentos de obras que, de otro modo, se habrían perdido."
Sheol,['Jean-Pierre Fontana'],"['Ciencia ficción', 'Novela']","En la Tierra, esterilizada por la contaminación y las mutaciones atómicas, la última «ciudad-burbuja» marcha lentamente buscando fuentes de energía. La sigue el pueblo de los Nómadas, que está adaptado desde su nacimiento al aire sin oxígeno y que depende de la «ciudad-burbuja» para la conservación de la especie. Pero la ciudad, que posee una avanzada tecnología, vive sus últimos momentos, en plena decadencia, y ha olvidado la manera de renovar sus máquinas y sus recursos. Y surge un héroe capaz de aunar la nueva vitalidad de los Nómadas con los últimos restos civilizadores de la ciudad a través de una serie de aventuras que pueden calificarse de épicas."
Al lado,['Blake Pierce'],"['Intriga', 'Novela', 'Policíaco']","Chloe siente que su vida es perfecta cuando se muda de nuevo a su pueblo natal con su prometido. Su carrera con el FBI parece prometedora y está a punto de casarse. Sin embargo, se entera de que no todo es como parece en su pueblo. Chloe empieza a ver la otra cara del pueblo: los rumores, los secretos, las mentiras. Aunado a eso, los demonios de la misteriosa muerte de su madre, y el encarcelamiento de su padre, la están atormentando. Y cuando un cuerpo aparece muerto, Chloe pronto se da cuenta de que su pasado, y este pequeño pueblo, podrían ser la clave de todo."
Los hilos del poder,['Jorge Zaragoza Gómez'],"['Novela', 'Policíaco']","-SE DEBE LEER EN ORDEN-Para todos aquellos lectores que llegaron con el corazón en un puño al acabar Caída al abismo, por fin llega la esperada tercera y última parte de la trilogía El pasado siempre vuelve.Clara Sánchez y Santi Blanes han vuelto a juntarse en el chalet del Cabo de las Huertas de la familia de Cornelius. Junto con el periodista holandés y Antonio deberán trazar un plan para sacar a la luz a la organización secreta origen de los crímenes iniciados con el asesinato de Magdalena de Pombo y Soto. Lo que desconoce el huido inspector jefe de homicidios es que planean atacarle donde más le duele.Entre tanto, Inés Hudson, una agente del Centro Nacional de Inteligencia, aparece en escena para investigar una información que su jefe Fernando Cortés ha recibido y que podría poner en peligro los cimientos de La Casa, la agencia de inteligencia de España."
¿El gato se comerá mis ojos?,['Caitlin Doughty'],"['Ensayo', 'Humor']","Cada día, la directora de funerarias Caitlin Doughty recibe docenas de preguntas sobre la muerte. Las mejores son las de los niños. ¿Qué le pasaría al cuerpo de un astronauta si lo empujaran desde un transbordador espacial? ¿Se hace caca al morir? ¿Puede la abuela celebrar un funeral vikingo? En ""¿El gato se comerá mis ojos?"", Doughty combina sus conocimientos funerarios sobre el cuerpo y la intrigante historia que se esconde tras las ideas erróneas más comunes sobre los cadáveres para ofrecer respuestas objetivas, divertidas y sinceras a treinta y cinco preguntas peculiares planteadas por sus fans más jóvenes. Con su inimitable enfoque, Doughty detalla la sabiduría y la ciencia de lo que ocurre con nuestros cuerpos después de morir. ¿Por qué gimen los cadáveres? ¿Qué hace que los cuerpos se coloreen durante la descomposición? ¿Y por qué el pelo y las uñas parecen más largos después de la muerte? Los lectores aprenderán cuál es la mejor tierra para momificar el cuerpo, si se puede conservar el cráneo de tu mejor amigo como recuerdo y qué ocurre cuando mueres en un avión. Bellamente ilustrado por Dianné Ruz, ¿El gato se comerá mis ojos? nos muestra que la muerte es ciencia y arte, y que sólo planteándonos preguntas podremos empezar a abrazarla."
Venus en el espejo,['Emilio Lara'],"['Histórico', 'Novela', 'Realista']","El destino, a veces, se puede cambiar. Y eso lo sabe bien la joven Olimpia. Inteligente y decidida, contraria a las normas impuestas de la época, pronto abandona el convento donde ha sido recluida contra su voluntad y toma las riendas de su vida.Será ella, entonces, quien rija los destinos de muchos otros; conseguirá riquezas y fama, y con ello protegerá a las mujeres pobres y las prostitutas, encargará majestuosas obras de arte y hasta ayudará a elegir a un Papa.Será en la Roma del siglo XVII donde Olimpia Maidalchini mueva sus hilos y se haga con un poder enorme, pues controlará el Vaticano y se ganará la enemistad de la curia. Unas faldas mandarán más que las sotanas.A esa misma Roma viajará Velázquez como embajador de Felipe IV. Lo hará en busca de grandes obras para su rey, y también hallará la inspiración y el amor en la modelo de uno de sus cuadros más célebres. Y, en las entretelas, una revolución popular, el carnaval, lujosas fiestas y el arte de Bernini, y todo ello bajo el palio de una Ciudad Eterna que vive momentos de esplendor.Venus en el espejo, la nueva novela de Emilio Lara, es una novela histórica, pero sobre todo una Novela en mayúsculas por su maestría en abordar las emociones. Una historia profundamente humana, de ambiciones y pasiones eternas, como la misma ciudad de Roma."
El amante,['Abraham B. Yehoshúa'],"['Novela', 'Psicológico', 'Realista']","Un hombre percibe un misterio en su mujer: no sabe ya quién es la esposa amadísima que habla en sueños, a quien sigue sin lograr alcanzar. El hombre persigue al amante de ella, el joven melancólico que ha devuelto el amor a la pareja y que un día desaparece. ¿Ha muerto o acaso ha desertado huyendo de una guerra cuyos motivos no comprende? El amor llega también de la mano del joven operario de su taller, que le ayuda en su búsqueda y cuyo corazón, como el de la hija de la pareja, sabe superar los conflictos más ancestrales. En esta reconstrucción a varias voces del destino de una familia se entremezclan y convergen magistralmente diversas historias de mundos cercanos y distantes al mismo tiempo, que pese al amor, reflejan la imposibilidad de conocer verdaderamente quién vive a nuestro lado."
Ars Moriendi,['Michel Onfray'],"['Ensayo', 'Espiritualidad', 'Filosofía']","Los «Ars moriendi» o «manuales de la buena muerte», compendios de la tradición cristiana surgidos a principios del siglo XV, fomentaban en el moribundo una actitud valiente, pacífica y positiva ante el instante de la agonía, por lo común enfrentado con dosis similares de miedo e incomprensión. Así, con la ayuda de los ángeles y los santos, invocados por las oraciones de sus acompañantes, aquel debía hacer frente a las tentaciones de los demonios a fin de salvar su alma en los momentos de debilidad. Haciendo un guiño irónico a esos textos de origen medieval, Onfray retoma su singular estructura y construye con ella un libro personalísimo en el que se amalgaman insospechadas anécdotas, recuerdos personales, apuntes y aforismos de extraordinaria viveza. Pulsando temas diversos (arte, filosofía, literatura, música, urbanismo) en una libre disposición de fragmentos colmados de obsesiones y confidencias íntimas, Onfray pone al lector ante el abismo de sus propios juicios, invitándole a proyectarse con desenfado en una de las grandes experiencias humanas hasta lograr que lo mórbido, lo macabro y lo patológico vayan desdibujándose bajo una leve sonrisa."
Los problemas de la biología,['John Maynard Smith'],"['Biología', 'Ciencias naturales', 'Divulgación']","Cómo decidir que algo está vivo es una cuestión que hoy en día, con los nuevos descubrimientos y los avances tecnológicos, se va haciendo cada vez más urgente y a lo que la biología debe dar respuesta. La bioquímica, la fisiología, la genética, la teoría de la evolución son las ciencias a través de las cuales la biología se ocupa del metabolismo y las funciones de los organismos.A partir de las verdades aceptadas, establecidas por estas ciencias, este libro responde primero a las preguntas con solución e intenta después resolver las cuestiones planteadas por los principales problemas abiertos en biología. Todo ello en términos comprensibles para un lector sin previo o con escaso conocimiento de la materia: las ideas fundamentales de la ciencia pueden explicarse a cualquiera que esté dispuesto a hacer el esfuerzo necesario para entenderlas."
Lord Corsario,['Sydney Jane Baily'],"['Aventuras', 'Histórico', 'Novela', 'Romántico']","En una misión secreta para la reina Victoria, el corsario británico Philip Carruthers, finalmente encuentra el tesoro que ha estado buscando durante dos largos y peligrosos años. Desafortunadamente, también descubre a la hija de un diplomático en un nido de piratas.Mientras disfruta de unos últimos meses de libertad antes del matrimonio, la señorita Beryl Angsley acompaña a su padre por todo el mundo en un asunto de diplomacia solo para ser secuestrada por piratas chinos en el Mar de China Meridional. ¡Qué terrible inconveniente!El capitán Carruthers, obligado por su honor a rescatarla, arriesga su barco, su tripulación y su gato. En medio de un mundo peligroso donde la supervivencia se tambalea al filo de una espada, ¿podrá cumplir su deber con la reina o elegirá salvar la vida de Beryl?"
Tormenta de hierro,['Graham McNeill'],"['Ciencia ficción', 'Novela']","e la trinchera surgieron andanadas de disparos láser, pero no fue suficiente y llegó demasiado tarde: Honsou saltó al interior de la posición defensiva. El marine traidor atravesó la trinchera a lo largo abriéndose camino a través de los cuerpos despedazados de los defensores aterrorizados que no lograban escapar de la espantosa arma. Honsou disfrutó de su superioridad mientras mataba guardias imperiales y comprendió muy bien el atractivo del culto a Khorne. Los marines del Caos del capítulo Guerreros de Hierro se abalanzaron sobre la trinchera y mataron a todos con la furia de los que habían pasado por el infierno y habían sobrevivido para contarlo.En el siniestro futuro de la galaxia, la humanidad libra una lucha constante para sobrevivir en una galaxia hostil. El infierno ha llegado a Hydra Cordatus, ya que una enorme hueste de los Guerreros de Hierro, la brutal tropa de asalto del Caos, ha invadido el planeta y asedia la poderosa ciudadela imperial fortificada. Pero ¿qué botín merece tanto derramamiento de sangre y tanta destrucción?"
Poesía epigráfica latina II,['Varios Autores'],"['Otros', 'Poesía']","Los volúmenes de los Carmina Latina Epigraphica, cuya publicación inició, hace ya más de un siglo, Buecheler y continuó Lommatzsch en 1926, recogían todas las inscripciones latinas antiguas escritas en verso conocidas por entonces (unas dos mil trescientas). Es, pues, un corpus de considerables dimensiones, en el que, al lado de piezas de escaso o nulo valor literario, encontramos a veces los destellos de la más auténtica inspiración poética o, cuando menos, la chispa rebosante de ingenio, o de sincero dolor, de la musa popular y anónima. Ésos son los textos que para la B. C. G. ha traducido y anotado Concepción Fernández Martínez, Profesora de la Universidad de Sevilla y colaboradora del proyecto internacional de investigación encargado de poner a disposición de los estudiosos el caudal actualizado de los epígrafes latinos en verso, que se espera que, cuando menos, duplique el publicado en su día por Buecheler y Lommatzsch."
La evolución del conocimiento,['Antonio Diéguez'],"['Divulgación', 'Filosofía']","La revolución darwiniana, lejos de ser algo ya superado, como a veces se pretende, aún no ha concluido del todo. Y no ha concluido porque todavía nos falta una adecuada explicación darwinista de uno de los aspectos fundamentales de los seres vivos. Tenemos explicaciones darwinistas de cientos, quizás de miles de rasgos adaptativos, pero aún no contamos con una explicación bien establecida del origen y desarrollo evolutivo de las capacidades cognitivas en aquellos seres vivos que las poseen, y muy en particular del origen y desarrollo evolutivo de la mente humana.¿Puede realmente la biología evolucionista ayudar a contestar viejos problemas epistemológicos, tal como pretende la epistemología evolucionista? O, dicho de otro modo, ¿puede ofrecerse una explicación evolucionista del conocimiento y, a partir de ella, arrojar nueva luz acerca de qué es el conocimiento e incluso en qué consiste la validez de los conocimientos? Y aún preguntado de forma más precisa, ¿puede obtenerse alguna conclusión filosófica relevante de considerar el conocimiento como un rasgo fenotípico propio de ciertos organismos (no sólo seres humanos) y surgido por un proceso de selección natural (suponiendo que realmente lo sea, claro está)?Este libro analiza las principales hipótesis que han elaborado los científicos al respecto e intenta obtener algunas conclusiones filosóficas relevantes a partir ellas y de los datos sobre las que se sustentan. Después de su lectura posiblemente el lector llegará al convencimiento de hay algunas cosas interesantes —⁠quizá esenciales⁠— que pueden conjeturarse acerca de la evolución de nuestras capacidades cognitivas en función de los datos aportados por diversas disciplinas científicas y, en particular, por disciplinas biológicas."
Alta velocidad,"['Ana Gusmão', 'Ana Teresa Pereira', 'Filipa Melo', 'Francisco Duarte Mangas', 'Francisco José Viegas', 'Inês Pedrosa', 'Jacinto Lucas Pires', 'Joel Neto', 'José Eduardo Agualusa', 'José Luís Peixoto', 'José Riço Direitinho', 'Mafalda Ivo Cruz', 'Miguel Castro Caldas', 'Paulo Moreiras', 'Pedro Rosa Mendes', 'Possidónio Cachapa', 'Varios Autores']","['Otros', 'Relato']","Hemos recorrido la geografía portuguesa a Alta velocidad, recogiendo muestras para componer un mosaico literario que dé cuenta de la variedad temática y la calidad formal de la última narrativa que se está realizando en el país vecino, para descubrir al lector la realidad de una literatura variada, de altísima calidad y, desgraciadamente, poco atendida hasta el momento en España.Los dieciséis autores seleccionados son novelistas y publican regularmente en Portugal. Sus nombres han sido seleccionados entre los que surgieron en los años noventa con criterios de calidad y representatividad.«A pesar de que el “realismo urbano total” haya sido proclamado por todas partes —también entre nosotros— como designación de una nueva literatura, la idea de Portugal que más inspira a esta juventud literaria sigue siendo tan urbana como rural; en algunos casos esta ruralidad no va más allá de un movimiento de partida del campo a las ciudades. Naturalidad, ironía y humor dan el tono a esta narrativa leve y expedita, que nos transmite el sentido y el conocimiento del mundo y de la vida portugueses, y que nos lleva a la infancia poética de los escritores, al color de los sueños y a los misterios eternos del amor. Reconocemos el paisaje, la gente, el tiempo y la música de la lengua portuguesa en estos cuentos; oímos y vemos lo que lanzan al viento y a los caminos del mundo; y sentimos lo que ganamos o perdemos en las idas y venidas del mar» (del prólogo de João de Melo)."
Quién esconde tu secreto,['Antonio Aparicio'],"['Intriga', 'Novela', 'Policíaco']","Nadia es una mujer feliz. Ha cumplido sus aspiraciones profesionales, tiene una relación con el hombre al que ama y un hijo estupendo. Vive en una elegante urbanización, en una casa perfecta para ella y su joven familia. Sin embargo, la felicidad nunca es eterna. Todo empieza a tambalearse cuando recibe un mensaje anónimo en el que acusan a su marido de asesinato.Al principio, Nadia lo ignora, pero al día siguiente se despierta con la noticia de que una vecina ha sido salvajemente golpeada hasta la muerte. Además, el marido de esta ha desaparecido y la policía lo busca como principal sospechoso. Sin embargo, Nadia recuerda algo que ocurrió la noche anterior y que empieza a atormentarle.Mientras tanto, los mensajes no dejan de llegar.¿Eres de esas que prefieren mirar para otro lado?No. Nadia no es de esa clase de personas. Ha de saber qué está pasando. Y antes de que alguien descubra que ella también tiene secretos."
El trono de jazmín,['Tasha Suri'],"['Fantástico', 'Novela']","Encarcelada por su hermano bajo un régimen dictatorial, Malini pasa sus días aislada en el Hirana. Es un antiguo templo que alguna vez fue la fuente de las poderosas y mágicas aguas inmortales, pero que ahora es poco más que unas ruinas desoladas. Priya es una sirvienta, entre las varias que hacen el traicionero viaje a la cima del Hirana todas las noches para limpiar las habitaciones de Malini. Agradece poder ser una esclava anónima, así evitará que alguien adivine el peligroso secreto que esconde. Cuando Malini revela la verdadera naturaleza de Priya, sus caminos quedan irrevocablemente enlazados: la princesa debe derrocar a su hermano del trono y la sirvienta necesita encontrar a su familia. Juntas, cambiarán el destino de un imperio."
Los pecados de Marisa Salas,['Clara Sánchez'],"['Intriga', 'Novela']","Marisa Salas es autora de la novela Días de Sol, que pasa inadvertida entre los lectores y la crítica. Al mismo tiempo una joven escritora, Carolina Cox, saborea las mieles del éxito con otra novela en la misma editorial, lo que hunde a Marisa, que tira los ejemplares que tenía y no vuelve a escribir.Treinta años después, aparece un escritor novel que copa la lista de ventas, levanta el aplauso del mundo literario y destrona a Carolina Cox. Al leer la obra, Marisa descubre con estupor que es la copia íntegra de su Días de Sol, de la que no conserva ningún ejemplar.A partir de aquí su tranquilidad se rompe en mil pedazos. Debe demostrar que el joven escritor es un impostor. Pero ¿es eso lo que más desea o prefiere que Días de Sol triunfe, aunque sea con otro título, frente a la que siempre consideró su rival, Carolina Cox, despertando así antiguos deseos de venganza?"
Corazón hechizado,['Lena Valenti'],"['Erótico', 'Fantástico', 'Novela']","Jadis siempre ha tenido mucha responsabilidad sobre sus hombros. Es la bruja Original más definitiva y especial y por ello ha tenido que sacrificar mucho durante su vida. Ahora, ha llegado el momento de abrir el foso de las brujas junto a su hermana Tamsin y realizar así el último encargo, el más importante. Lo que no se imagina es que nada saldrá como ella esperaba ni que las decisiones que tomó en el pasado, están a punto de volverse en su contra en forma de vampiro vengativo con ganas de represalias.Khalevi siempre se ha sentido un conejillo de Indias. Una vez tuvo que pedir un favor a una eks, una bruja del norte, pero lo que ella le pidió a cambio lo marcó para toda la vida, y le privo de vivir con plenitud. Ahora, después de muchos siglos, tiene a esa bruja a tiro, y no va a tener clemencia Las brujas Originales nunca lo han tratado bien y ha llegado el momento de jugar según sus reglas.Ni esta bruja ni este vampiro están preparados para lo que viene."
Los caballos del sueño,['Clara Janés'],"['Novela', 'Otros']","Los caballos del sueño se inicia como una historia de amor de adolescencia y paulatinamente se convierte en un mosaico que abarca los avatares vividos por sus personajes, imbricados en la evolución sufrida por España a partir de la década de los 60.Distintos escenarios sirven de marco a las distintas etapas recorridas, así Pamplona al momento de auge de la tendencia existencialista y de crisis de las creencias religiosas, París al de la tentativa de sustitución de éstas por unos ideales políticos, y Madrid al desmoronamiento final de todo ello.La obra, que adopta al principio tonos evanescentes y ritmo lento, como corresponde al estado de sus personajes, aún poco definidos, se va concretando hasta alcanzar fuerte dramatismo y dinamismo a medida que los acontecimientos se precipitan.Se trata, pues, de un texto complejo que abarca, en cierto modo, diversos géneros literarios, la epístola, el teatro, el ensayo filosófico, la poesía y los diarios, girando en una órbita que consiste en el relato de la misma génesis de la novela, y en torno a un eje: el tema del amor. Este, que aparece en su doble aspecto de eros y ágape, y halla solución en el platonismo udrí, nos da la clave de los nombres de los dos protagonistas: el masculino, Lobo, mero apodo, por guardar el secreto como requiere el catarismo, y el femenino, Alma, puesto que encarna de hecho al «yo de luz» de la mística zoroastriana.La escritora Rosa Chacel ha afirmado que Clara Janés, con Los caballos del sueño, ha escrito la historia de su generación."
